# reprocessed.csv
# Mark <andrus@uchicago.edu>
#
# NOTE: The following was created by processing the MovieLens 100k dataset
# $ cat ml-100k/u.data|awk '{printf("%03d,%04d,%d\n",$1,$2,$3)}'|sort -k1,2 >reprocessed.csv
#
# userId,itemId,rating
001,0001,5
001,0002,3
001,0003,4
001,0004,3
001,0005,3
001,0006,5
001,0007,4
001,0008,1
001,0009,5
001,0010,3
001,0011,2
001,0012,5
001,0013,5
001,0014,5
001,0015,5
001,0016,5
001,0017,3
001,0018,4
001,0019,5
001,0020,4
001,0021,1
001,0022,4
001,0023,4
001,0024,3
001,0025,4
001,0026,3
001,0027,2
001,0028,4
001,0029,1
001,0030,3
001,0031,3
001,0032,5
001,0033,4
001,0034,2
001,0035,1
001,0036,2
001,0037,2
001,0038,3
001,0039,4
001,0040,3
001,0041,2
001,0042,5
001,0043,4
001,0044,5
001,0045,5
001,0046,4
001,0047,4
001,0048,5
001,0049,3
001,0050,5
001,0051,4
001,0052,4
001,0053,3
001,0054,3
001,0055,5
001,0056,4
001,0057,5
001,0058,4
001,0059,5
001,0060,5
001,0061,4
001,0062,3
001,0063,2
001,0064,5
001,0065,4
001,0066,4
001,0067,3
001,0068,4
001,0069,3
001,0070,3
001,0071,3
001,0072,4
001,0073,3
001,0074,1
001,0075,4
001,0076,4
001,0077,4
001,0078,1
001,0079,4
001,0080,4
001,0081,5
001,0082,5
001,0083,3
001,0084,4
001,0085,3
001,0086,5
001,0087,5
001,0088,4
001,0089,5
001,0090,4
001,0091,5
001,0092,3
001,0093,5
001,0094,2
001,0095,4
001,0096,5
001,0097,3
001,0098,4
001,0099,3
001,0100,5
001,0101,2
001,0102,2
001,0103,1
001,0104,1
001,0105,2
001,0106,4
001,0107,4
001,0108,5
001,0109,5
001,0110,1
001,0111,5
001,0112,1
001,0113,5
001,0114,5
001,0115,5
001,0116,3
001,0117,3
001,0118,3
001,0119,5
001,0120,1
001,0121,4
001,0122,3
001,0123,4
001,0124,5
001,0125,3
001,0126,2
001,0127,5
001,0128,4
001,0129,5
001,0130,3
001,0131,1
001,0132,4
001,0133,4
001,0134,4
001,0135,4
001,0136,3
001,0137,5
001,0138,1
001,0139,3
001,0140,1
001,0141,3
001,0142,2
001,0143,1
001,0144,4
001,0145,2
001,0146,4
001,0147,3
001,0148,2
001,0149,2
001,0150,5
001,0151,4
001,0152,5
001,0153,3
001,0154,5
001,0155,2
001,0156,4
001,0157,4
001,0158,3
001,0159,3
001,0160,4
001,0161,4
001,0162,4
001,0163,4
001,0164,3
001,0165,5
001,0166,5
001,0167,2
001,0168,5
001,0169,5
001,0170,5
001,0171,5
001,0172,5
001,0173,5
001,0174,5
001,0175,5
001,0176,5
001,0177,5
001,0178,5
001,0179,3
001,0180,3
001,0181,5
001,0182,4
001,0183,5
001,0184,4
001,0185,4
001,0186,4
001,0187,4
001,0188,3
001,0189,3
001,0190,5
001,0191,5
001,0192,4
001,0193,4
001,0194,4
001,0195,5
001,0196,5
001,0197,5
001,0198,5
